,Unnamed: 0,Nodes Complet,Edges Complet,Diameter Complet,Density Complet,Cluster biconected Complet,Max degree Complet,Mean degree Complet,Sd degree Complet,Var degree Complet,Mean indegree Complet,Mean outdegree Complet,Mean betweenness Complet,Sd betweenness Complet,var betweenness Complet,Mean closeness Complet,Sd closeness Complet,Var closeness Complet,Nodes Cluster,Edges Cluster,Diameter Cluster,Density Cluster,Cluster biconected Cluster,Max degree Cluster,Mean degree Cluster,Sd degree Cluster,Var degree Cluster,Mean indegree Cluster,Mean outdegree Cluster,Mean betweenness Cluster,Sd betweenness Cluster,var betweenness Cluster,Mean closeness Cluster,Sd closeness Cluster,Var closeness Cluster
30,unique_2.0\0ad30dac11d081b89b47f40a720b506197b89d36.txt,102,159,2,0.015433896330809552,12,17,3.117647058823529,2.478797687026734,6.144437973209086,1.5588235294117647,1.5588235294117647,0.19607843137254904,0.9854306560819132,0.9710735779460298,0.2388873717779921,0.03566518655073393,0.0012720055316986524,85,138,2,0.019327731092436976,1,14,3.247058823529412,2.3599126414064626,5.569187675070029,1.623529411764706,1.623529411764706,0.17647058823529413,0.9408262653777528,0.8851540616246498,0.25929577967235096,0.033476592649416125,0.0011206822554149418
31,unique_2.0\0ae6d815c345e0f7e2396afb028576cc5393b793.txt,64,98,2,0.02430555555555556,7,16,3.0625,2.6057019284028904,6.78968253968254,1.53125,1.53125,0.09375,0.75,0.5625,0.2380853854163897,0.040543847797167305,0.001643803594199868,58,92,2,0.02782819116757411,1,16,3.1724137931034484,2.6565901573949677,7.057471264367816,1.5862068965517242,1.5862068965517242,0.10344827586206896,0.7878385971583353,0.6206896551724137,0.260558447714466,0.0415349794060791,0.0017251545142634148
32,unique_2.0\0ae926085fc73482fe661b622e99a8887bad2e72.txt,10,16,1,0.17777777777777778,1,8,3.2,2.5298221281347035,6.4,1.6,1.6,0.0,0.0,0.0,0.63,0.14230249470757708,0.02025,10,16,1,0.17777777777777778,1,8,3.2,2.5298221281347035,6.4,1.6,1.6,0.0,0.0,0.0,0.63,0.14230249470757708,0.02025
33,unique_2.0\0af1d9afd86cbfd23e5b1d24885aa067e1b715c0.txt,27,32,1,0.04558404558404558,15,5,2.3703703703703702,1.114524670954054,1.2421652421652425,1.1851851851851851,1.1851851851851851,0.0,0.0,0.0,0.21021252683021696,0.04305701945427853,0.0018539069242861203,7,10,1,0.2380952380952381,1,4,2.8571428571428568,0.8997354108424374,0.8095238095238095,1.4285714285714286,1.4285714285714286,0.0,0.0,0.0,0.6320346320346321,0.10218918612461683,0.01044262976081158
34,unique_2.0\0af6f8708ac30aefdf083efd507684ff00636f1b.txt,42,59,1,0.034262485481997666,12,9,2.8095238095238093,1.8510128438775804,3.426248548199768,1.4047619047619049,1.4047619047619049,0.0,0.0,0.0,0.25441255238870164,0.04794148629255603,0.002298386107939338,29,45,1,0.05541871921182266,1,8,3.103448275862069,1.739146498105298,3.0246305418719213,1.5517241379310345,1.5517241379310345,0.0,0.0,0.0,0.3001907089151194,0.044846743386360265,0.0020112303923620484
35,unique_2.0\0b0718d8ea621946756a10f12aef577c24431f72.txt,620,1837,4,0.004786596487571004,17,66,5.925806451612903,9.798996610198357,96.02033456667886,2.962903225806452,2.962903225806452,6.4064516129032265,50.79055938978478,2579.680923127255,0.2732608096780727,0.04069244565358501,0.0016558751332699695,583,1773,4,0.005225371788297289,1,66,6.082332761578043,10.017857597187787,100.35747083753307,3.0411663807890217,3.0411663807890217,6.367066895368782,49.67252262993538,2467.3595044214426,0.2920155550799621,0.03624567024851694,0.001313748611764226
36,unique_2.0\0b2cb945ac4bc42556f1507b4f90b5769cca7a79.txt,264,516,3,0.0074317317663325265,23,32,3.9090909090909087,4.068715000582207,16.554441755962667,1.9545454545454544,1.9545454545454544,1.2878787878787878,9.542504715419684,91.05939624380692,0.25955665982264703,0.0403879260031288,0.0016311845668342078,242,494,3,0.008470217070745174,1,32,4.082644628099174,4.095512728852268,16.77322451219094,2.041322314049587,2.041322314049587,1.396694214876033,9.954339189242507,99.08886869448921,0.2735749695086041,0.03782238937787197,0.0014305331382513619
37,unique_2.0\0b594b475372b11a0e3cc57fc4f871fac99a73d6.txt,362,739,3,0.005654948653984482,14,33,4.082872928176797,4.931529464492155,24.319982859154283,2.0414364640883984,2.0414364640883984,0.56353591160221,3.3042986667010275,10.918389678762187,0.1971390674856501,0.02546716512858298,0.0006485764996865131,341,712,3,0.006141107469380714,1,33,4.1759530791788855,5.031501592978471,25.316008280144906,2.0879765395894427,2.0879765395894427,0.592375366568915,3.38979444802513,11.490706399861994,0.2061067341905672,0.02284135505069249,0.0005217275005517954
38,unique_2.0\0b5d68d1c8841e8668e3dbaaae2936e0fa679cbd.txt,61,113,1,0.03087431693989072,5,37,3.704918032786885,5.547805158484096,30.778142076502732,1.852459016393443,1.852459016393443,0.0,0.0,0.0,0.35787584717590576,0.07052881404196193,0.0049743136101656465,32,64,1,0.06451612903225806,1,27,4.0,5.8805310271514015,34.58064516129032,2.0,2.0,0.0,0.0,0.0,0.5264586246962409,0.06290986869614829,0.003957651579366618
39,unique_2.0\0b6074a5da6b55553fc9957a51801d5d57548d22.txt,786,2514,5,0.004074488257888851,17,71,6.3969465648854955,11.016845969843443,121.3708951232557,3.1984732824427478,3.1984732824427478,9.814249363867683,70.41982436750345,4958.9516639500325,0.27675790474677897,0.039928241334733584,0.001594264456084728,749,2450,5,0.004373032135539008,1,71,6.542056074766355,11.21436276078767,125.76193213054123,3.2710280373831777,3.2710280373831777,9.937249666221627,70.09535520130778,4913.358820797506,0.2912754195187582,0.036264256943017326,0.0013150963316291805
